idx,English,Darija,MSA
4800,It's there on the right side.,راه كاين على اليمين.,إنه هناك على الجانب الأيمن .
4801,I have to move to an air-conditioned vehicle One Zero Zero. Is this possible?,"خاصني نحول ل ""أ و"" واحد صفر صفر . واش ممكن؟",يجب أن أنتقل إلى عربة مكيفة واحد صفر صفر . هل هذا ممكن ؟
4805,I would like to dive with a diving instructor.,بغيت نغطس مع مدرب ديال الغطس.,ارغب في الغطس مع مدرب غطس .
4806,Would you please change my room?,واش ممكن تبدل الغرفة ديالي؟,هلاّ من فضلك بدّلت لي غرفتي ؟
4807,Let me review. What if departure is at forty-seven?,بلاتي نشوف، ٱش بان ليك فالمغادر سبعة و اربعين.,دعيني أراجع . ماذا لو كانت المغادرة في السابعة وأربعين ؟
4810,Could you please direct me to extension three zero three?,عافك دخلني نزيد ثلاتمائة و ثلاثة.,هلا أوصلتني من فضلك إلى الرقم الداخلي ثلاثة صفر ثلاثة .
4813,How are you playing these days?,كيدايرة اللعبة ديالك هاد اليامات؟,كيف حال اللعب معك هذه الأيام ؟
4814,I feel tightness in my chest.,حسيت براسي مخنوق من الصدر.,أشعر بضيق في الصدر .
4816,Where is the bus stop that goes to Santa Monica?,فيناهيا محطة الوصول لسانتا مونيكا؟,أين محطة الحافلة التي تذهب إلى سانتا مونيكا ؟
4817,This is a souvenir I will take with me to Japan.,هاد التذكار غادي نديه معايا لليابان.,هذا تذكار سآخذه معي إلى اليابان .
4818,My aunt is listless and a bit eccentric.,خالتي ما منظماش و غريبة شوية.,إن خالتي فاترة الهمة وغريبة الأطوار بعض الشيء .
4819,Could you please help me ?,ممكن تعاوني، عافاك؟,هلاّ ساعدتني ، من فضلك ؟
4820,I feel pain in my stomach .,فيا الوجع.,أشعر بألم في معدتي .
4823,Where can I buy a national costume?,منين نقدر نشري لباس تقليدي؟,أين يمكنني أن أشتري زياً وطنياً ؟
4824,Where is the lost baggage section?,فين هو مكتب المفقودات؟,أين يوجد قسم الأمتعة المفقودة ؟
4825,Do you have any shirts?,منين نقدر نشري لباس تقليدي؟,هل لديك أية قمصان ؟
4826,"no problem . If you come on the 5th of September, you will be able to enjoy a scientific film screening because we have a special open day on the first Friday of every month.",ماكاين مشكل، ايلا جيتي فالخامس من أكتوبر تقدر تشوف الفيلم العلمي، حيت كانديرو يوم افتتاح خاص كل أول جمعة من كل شهر.,لا توجد مشكلة . إذا حضرت في الخامس من سبتمبر ، فسيكون بإمكانك الاستمتاع بعرض فيلم علمي لأن عندنا يوماً خاصاً مفتوحاً أول يوم جمعة من كل شهر .
4828,Do you have any other tours?,واش عندك شي جولة أخرى؟,هل لديكم أية جولة سياحية أخرى ؟
4829,Show me a good bar? please .,وريني شي مطعم مزيان، عافاك.,دُلني على حانة جيد ؟ من فضلك .
4830,"I'll have a beef steak from the waist, and roasted lamb for my wife.",غادي ندي شرائح اللحم و الشوا لمراتي.,أنا سآخذ شريحة لحم بقري من الخصر ، ولحم حَمَل مشوياً لزوجتي .
4831,It is a sharp pain resulting from appendicitis accompanied by rupture. You must go to the hospital immediately.,هادا هجوم خطير لالتهاب المصرانة الزايدة أدات لتمزق، خاصك تمشي للمستشفى دابا.,إنه ألم حاد ناتج عن التهاب الزائدة الدودية مصحوب بتمزق . يجب أن تذهب إلى المستشفى فوراً .
4832,"Full coverage, please.",تغطية كاملة الله يخليك.,تغطية كاملة ، فضلا .
4836,Good . Five percent discount. Does he agree with you?,واخا، انقطع ليك خمسة فالمائة، مزيان؟,حسنا . خصم خمسة في المائة . هل يوافقك لك ؟
4837,"Now, what are we making for dinner today?",دابا شنو انطيبو فالغدا؟,والآن ، ماذا سنعدّ للعشاء اليوم ؟
4838,I will think about it .,غادي نفكر فهاد القضية.,سأفكر في الأمر .
4839,Do you accept traveler's checks?,واش كاتقبل شيكات سياحية؟,هل تقبلون شيكات سياحية ؟
4840,This must be your concern. The taxi driver left him this morning.,هادي واقيلا ديالك، سائق سيارة الأجرة نزلها هاد الصباح.,لابد أن هذا يخصك . فقد تركه سائق التاكسي هذا الصباح .
4845,I am going to Paris.,أنا غادي لباريس.,إنني ذاهب إلى باريس .
4847,Do you have one of this type?,واش عندك بحال هادي؟,هل عندك من نفس هذا النوع ؟
4848,"It's not the latest model, is it?",هادا ماشي هو النموذج الاخر ياك؟,إنها ليست أحدث طراز ، أليس كذلك ؟
4851,This is the mall just completed.,هادا مركز التجارة لي عاد تبنى.,هذا هو المركز التجاري أكتمل للتوّ .
4856,I can pay three hundred dollars a month.,نقدر نتحمل تلتالاف دولار للشهر.,بمقدوري دفع ثلاثمائة دولار في الشهر .
4857,Its scheduled time is 8:30 pm local time.,تقررات مع التمنية و نص ديال العشية بالتوقيت المحلي.,موعده المقرر هو الثامنة والنصف مساءْ بالتوقيت المحلي .
4859,Can you tow my car to the next gas station?,ممكن تجرني لمحطة البنزين الجاية؟,هل يمكنك سحب سيارتي إلى محطة الغاز القادمة ؟
4861,I want to cool the affected part using ice pieces.,بغيت نبرد البلاصة المقيوسة بمكعبات الثلج.,أريد تبريد الجزء المصاب باستخدام قطع الثلج .
4863,When will seats be available?,وقتاش ايكونو لبلايص خاويين؟,متى تكون المقاعد متاحة عندكم ؟
4864,"No, I will call to answer it.",لا، انا انعيط ليه.,لا ، سوف أتصل للرد عليه .
4865,I want a car.,بغيت سيارة.,أريد سيارة .
4866,Have you had any previous cases of allergies?,واش عمر جاتك الحساسية؟,هل حدثت لديكم أية حالات سابقة من الحساسية ؟
4868,There is a ferry to Liberty Island from Battery Park.,كاينين زوارق كايديو لجزيرة الحرية من منتزه باتري.,هناك معدّية إلى جزيرة ليبرتي من حديقة باتري .
4869,Is there a room to leave coats?,واش كاينة شي غرفة امانات؟,هل توجد غرفة لترك المعاطف ؟
4870,Help me . I can't move.,عاوني، مقدرتش نتحرك.,ساعدني . لا أستطيع الحركة .
4873,"Non-smoking vehicle, please.",طوموبيل لناس لي مكيكميوش، عافاك.,عربة لغير المدخنين ، لطفاً .
4876,Please write down your permanent address.,عافاك، كتب العنوان ديالك ديال دابا.,من فضلك دوّن عنوانك الدائم .
4878,We are ready to fulfill any requests you may have immediately.,حنا موجودين دابا باش نجاوبو على أي استفسارات عندك.,نحن على استعداد لتلبية أية طلبات قد ترغبون فيها على الفور .
4879,I will not eat the meal.,ماغاديش ناخد الماكلة.,لن أتناول الوجبة .
4880,I want to buy what I need. Will you pay me back the value?,بغيت نشري دكشي لي محتاجة . واخا تخلصني من بعد؟,أريد شراء ما أحتاجه . هل ستعيد دفع القيمة لي ؟
4883,Are there any major stores near here?,واش كاينين شي حوانت شاملة هنايا؟,هل توجد أية متاجر كبرى بالقرب من هنا ؟
4885,The person at the reception desk is very rude.,داك الولد لي فمكتب الاستقبال باسل.,الشخص الذي في مكتب الاستقبال فظّ للغاية .
4887,A less expensive hotel is better if it is in a safe area.,إلا كان شي وطيل رخيص فشي حومة نقية أيكون حسن.,فندق أقل غلاءً هو الأفضل إذا كان في منطقة آمنة .
4889,"Show this building with us, please.",خود هاد العمارة معانا، عافك.,"أظهر هذا المبنى معنا , من فضلك ."
4894,Good . I want a medium-sized bowl and rice balls.,واخا، أناخد طاسا متوسطة ديال الصوبا وكرات الروز .,حسناً . أريد سلطانية من الحجم المتوسط ، وكرات الأرز .
4900,I have two bottles of cognac.,عندي جوج قرعات ديال الكونيك.,لديّ زجاجتان من الكونياك .
4901,What does this look like?,كيفاش جيت؟,كيف يبدو هذا ؟
4904,"On the first date, the cities of Hiroshima and Nagasaki hold commemoration ceremonies, while on the second date the sitting emperor attends a prayer service for the souls of those killed in the war.",شحال هادي فمدينة هيروشيما وناكازاكي فالمراسم التدكارية، كانو كيجيبو الإمبراطور باش يحضر لموتى ديال كخدمة ليهم.,في التاريخ الأول ، تقيم مدينتا هيروشيما ونجازاكي احتفالات لإحياء الذكرى ، بينما في التاريخ الثاني يحضر الإمبراطور الحالي صلاة على أرواح الموتى في الحرب .
